,day,process,process_id,father,father_id,uid,ocurrences
0,3,"Processo,EMT",1230,nspr-2,1215,0,29
1,3,monitoramento-V,18963,monitoramento-V,1278,0,1
2,3,monitoramento-n,29623,monitoramento-n,1277,0,1
3,3,jbd2,,sda2-8,165,Pai: kthreadd(2),0
4,3,monitoramento-n,24919,monitoramento-n,1277,0,1
5,3,vboxmanage,3577,vboxmanage,3575,0,1
6,3,logrotate,3663,systemd,1,0,1
7,3,invoke-rc.d,3670,sh,3669,0,1
8,3,apache2,3694,apachectl,3692,0,1
9,3,mandb,3677,systemd,1,6,3
10,3,monitoramento-n,15844,monitoramento-n,15843,0,1
11,3,pidof,27276,monitoramento-V,1279,0,1
12,3,khugepaged,28,kthreadd,2,0,1
13,3,kworker,,1:1,10126,Pai: kthreadd(2),0
14,3,flock,25311,apt.systemd.dai,25308,0,1
15,3,dpkg,25519,apt-config,25518,0,1
16,3,monitoramento-n,10746,monitoramento-n,1277,0,1
17,3,nm-dispatcher,13375,systemd,1,0,1
18,3,monitoramento-V,9837,monitoramento-V,1278,0,1
19,3,monitoramento-c,24850,monitoramento-c,24848,0,1
20,3,monitoramento-V,13305,monitoramento-V,13301,0,1
21,3,monitoramento-c,28557,monitoramento-c,1273,0,1
22,3,systemd-tmpfile,4324,systemd,1,0,1
23,3,monitoramento-z,32384,monitoramento-z,32382,0,1
24,3,grep,391,monitoramento-m,388,0,1
25,3,pidstat,3130,monitoramento-V,3126,0,2
26,3,ps,17555,vboxmanage,17554,0,1
27,3,VBoxManage,17550,workload.sh,1281,0,1
28,3,lsmod,18230,vboxmanage,18228,0,2
29,3,lsmod,18444,vboxmanage,18442,0,2
30,3,ps,22395,vboxmanage,22394,0,2
31,3,whoami,23384,vboxmanage,23381,0,1
32,3,ps,28419,vboxmanage,28418,0,1
33,3,VBoxManage,31759,workload.sh,1281,0,2
34,3,vboxmanage,2298,workload.sh,1281,0,2
35,3,lsmod,4128,vboxmanage,4126,0,2
36,3,vboxmanage,7923,workload.sh,1281,0,2
37,3,find,8818,systemd,1,6,1
38,3,logrotate,8816,systemd,1,0,1
39,3,mandb,8938,systemd,1,6,2
40,3,whoami,9528,vboxmanage,9525,0,2
41,3,ps,11068,vboxmanage,11067,0,1
42,3,monitoramento-n,11746,monitoramento-n,11740,0,1
43,3,lsmod,11861,vboxmanage,11859,0,1
44,3,vboxmanage,12410,vboxmanage,12406,0,1
45,3,VBoxManage,16033,workload.sh,1281,0,1
46,3,monitoramento-n,16364,monitoramento-n,16359,0,1
47,3,whoami,26816,vboxmanage,26814,0,1
48,3,monitoramento-c,27497,monitoramento-c,1273,0,1
49,3,workload.sh,30750,workload.sh,1281,0,2
50,3,lsmod,2917,vboxmanage,2915,0,1
51,3,VBoxManage,2933,workload.sh,1281,0,1
52,3,ps,3372,vboxmanage,3371,0,1
53,3,awk,3516,monitoramento-z,3514,0,1
54,3,ps,10678,vboxmanage,10677,0,1
55,3,vboxmanage,10691,workload.sh,1281,0,1
56,3,ps,10749,monitoramento-z,10746,0,1
57,3,vboxmanage,11118,workload.sh,1281,0,1
58,3,ps,14054,monitoramento-d,14053,0,1
59,3,monitoramento-z,14278,monitoramento-z,1276,0,1
60,3,pidof,20067,monitoramento-V,1279,0,1
61,3,monitoramento-n,20165,monitoramento-n,20161,0,1
62,3,lsmod,21797,vboxmanage,21795,0,1
63,3,sed,22267,monitoramento-V,22265,0,1
64,3,monitoramento-V,24047,monitoramento-V,24044,0,2
65,3,lsmod,26517,vboxmanage,26515,0,1
66,3,vboxmanage,26653,workload.sh,1281,0,1
67,3,ps,29819,monitoramento-z,29818,0,1
68,3,monitoramento-n,29951,monitoramento-n,1277,0,1
69,3,ps,30615,vboxmanage,30614,0,1
70,3,VBoxManage,31036,workload.sh,1281,0,1
71,3,lsmod,32342,vboxmanage,32340,0,1
72,3,vboxmanage,32340,workload.sh,1281,0,1
73,3,lsmod,2185,vboxmanage,2183,0,1
74,3,vboxmanage,2855,vboxmanage,2851,0,1
75,3,vboxmanage,10717,workload.sh,1281,0,1
76,3,monitoramento-V,10956,monitoramento-V,1278,0,1
77,3,vboxmanage,12039,workload.sh,1281,0,1
78,3,ps,13291,monitoramento-z,13290,0,1
79,3,monitoramento-n,14355,monitoramento-n,1277,0,1
80,3,ps,17545,vboxmanage,17544,0,1
81,3,monitoramento-d,18534,monitoramento-d,18529,0,1
82,3,ps,18653,vboxmanage,18652,0,1
83,3,vboxmanage,18850,vboxmanage,18847,0,1
84,3,lsmod,24119,vboxmanage,24117,0,1
85,3,vboxmanage,24122,vboxmanage,24121,0,1
86,3,,,systemd,1,0,1
87,3,VBoxManage,25004,workload.sh,1281,0,1
88,3,ps,2597,vboxmanage,2596,0,2
89,3,lsmod,4749,vboxmanage,4747,0,1
90,3,VBoxManage,4747,workload.sh,1281,0,1
91,3,ps,6567,vboxmanage,6566,0,2
92,3,ps,10414,vboxmanage,10413,0,1
93,3,grep,10415,vboxmanage,10413,0,1
94,3,VBoxManage,11495,workload.sh,1281,0,2
95,3,lsmod,15214,vboxmanage,15212,0,1
96,3,vboxmanage,15212,workload.sh,1281,0,1
97,3,whoami,16504,vboxmanage,16501,0,1
98,3,VBoxManage,16496,workload.sh,1281,0,1
99,3,pidof,18384,monitoramento-V,1280,0,1
100,4,"Processo,pidof",18386,monitoramento-V,1279,0,1
101,4,lsmod,22058,vboxmanage,22056,0,1
102,4,grep,22059,vboxmanage,22056,0,1
103,4,pidof,22290,monitoramento-V,1278,0,1
104,4,pidof,22292,monitoramento-V,1280,0,1
105,4,ps,24330,vboxmanage,24329,0,2
106,4,ps,27734,vboxmanage,27733,0,1
107,4,VBoxManage,27729,workload.sh,1281,0,1
108,4,pidof,29367,monitoramento-V,1280,0,2
109,4,VBoxManage,31176,workload.sh,1281,0,2
110,4,ps,32056,vboxmanage,32055,0,1
111,4,VBoxManage,32051,workload.sh,1281,0,1
112,4,ps,1846,vboxmanage,1845,0,1
113,4,grep,1847,vboxmanage,1845,0,1
114,4,cron,386,systemd,1,0,1
115,4,VBoxManage,4372,workload.sh,1281,0,1
116,4,lsmod,4708,vboxmanage,4706,0,1
117,4,grep,4709,vboxmanage,4706,0,1
118,4,VBoxManage,6415,workload.sh,1281,0,2
119,4,pidof,8728,monitoramento-V,1280,0,1
120,4,VBoxManage,8803,workload.sh,1281,0,1
121,4,pidof,10966,monitoramento-V,1279,0,1
122,4,pidof,10967,monitoramento-V,1280,0,1
123,4,ps,15044,monitoramento-z,15043,0,1
124,4,VBoxManage,15076,workload.sh,1281,0,1
125,4,ps,19095,vboxmanage,19094,0,1
126,4,grep,19096,vboxmanage,19094,0,1
127,4,pidof,24210,monitoramento-V,1279,0,2
128,4,lsmod,30685,vboxmanage,30683,0,1
129,4,nspr-2,1230,nspr-2,1215,0,1
130,4,pidof,31480,monitoramento-V,1279,0,1
131,4,apache2,9042,apache2,491,33,1
132,4,ps,2501,vboxmanage,2500,0,1
133,4,VBoxManage,2496,workload.sh,1281,0,1
134,4,ps,6828,vboxmanage,6827,0,1
135,4,VBoxManage,6823,workload.sh,1281,0,1
136,4,ps,15170,monitoramento-d,15169,0,1
137,4,VBoxManage,15120,workload.sh,1281,0,1
138,4,ps,15617,monitoramento-d,15616,0,2
139,4,ps,17742,monitoramento-z,17741,0,1
140,4,monitoramento-m,17797,monitoramento-m,17794,0,1
141,4,lsmod,18790,vboxmanage,18788,0,1
142,4,VBoxManage,18788,workload.sh,1281,0,1
143,4,ps,21628,vboxmanage,21627,0,4
144,4,ps,26597,vboxmanage,26596,0,1
145,4,VBoxManage,26592,workload.sh,1281,0,1
146,4,monitoramento-n,29222,monitoramento-n,29216,0,2
147,4,ps,29945,monitoramento-z,29944,0,1
148,4,wc,29947,monitoramento-z,29944,0,1
149,4,vboxmanage,2836,vboxmanage,2832,0,1
150,4,vboxmanage,2839,vboxmanage,2837,0,1
151,4,ps,4763,vboxmanage,4762,0,1
152,4,VBoxManage,4758,workload.sh,1281,0,1
153,4,lsmod,9214,vboxmanage,9212,0,1
154,4,VBoxManage,9212,workload.sh,1281,0,1
155,4,whoami,17133,vboxmanage,17130,0,1
156,4,VBoxManage,17125,workload.sh,1281,0,1
157,4,pidof,20520,monitoramento-V,1280,0,2
158,4,lsmod,22597,vboxmanage,22595,0,1
159,4,VBoxManage,22595,workload.sh,1281,0,1
160,4,pidof,27722,monitoramento-V,1280,0,2
161,4,ps,3584,vboxmanage,3583,0,1
162,4,VBoxManage,3579,workload.sh,1281,0,1
163,4,lsmod,7692,vboxmanage,7690,0,1
164,4,grep,7693,vboxmanage,7690,0,1
165,4,lsmod,8993,vboxmanage,8991,0,1
166,4,VBoxManage,8991,workload.sh,1281,0,1
167,4,monitoramento-c,12097,monitoramento-c,12095,0,1
168,4,VBoxManage,12175,workload.sh,1281,0,1
169,4,ps,13056,vboxmanage,13055,0,1
170,4,VBoxManage,13051,workload.sh,1281,0,1
171,4,pidof,26788,monitoramento-V,1280,0,1
172,4,VBoxManage,26922,workload.sh,1281,0,1
173,4,pidof,13679,monitoramento-V,1278,0,1
174,4,VBoxManage,13754,workload.sh,1281,0,1
175,4,ps,14185,vboxmanage,14184,0,2
176,4,ps,9518,monitoramento-z,9517,0,1
177,4,VBoxManage,9595,workload.sh,1281,0,1
178,4,monitoramento-m,14296,monitoramento-m,1275,0,1
179,4,apachectl,20862,apachectl,20853,0,1
180,4,EMT,1230,nspr-2,1215,0,8
181,4,ps,20941,monitoramento-d,20940,0,1
182,4,mandb,20842,systemd,1,6,1
183,4,ps,27263,vboxmanage,27262,0,2
184,4,ps,11699,vboxmanage,11698,0,1
185,4,VBoxManage,11694,workload.sh,1281,0,1
186,4,lsmod,13398,vboxmanage,13396,0,1
187,4,grep,13399,vboxmanage,13396,0,1
188,4,pidof,770,monitoramento-V,1280,0,1
189,4,VBoxManage,942,workload.sh,1281,0,1
190,4,ps,1191,monitoramento-z,1187,0,1
191,4,VBoxManage,1156,workload.sh,1281,0,1
192,4,pidof,2916,monitoramento-V,1278,0,1
193,4,VBoxManage,2899,workload.sh,1281,0,1
194,4,ps,3961,monitoramento-z,3959,0,1
195,4,apt-get,3744,apt.systemd.dai,3735,0,1
196,4,monitoramento-c,10495,monitoramento-c,10491,0,1
197,4,ps,10698,monitoramento-z,10697,0,1
198,4,apache2,9041,apache2,491,33,1
199,4,ps,11207,monitoramento-d,11206,0,1
200,4,"Processo,monitoramento-m",1275,bash,1263,0,1
201,4,EMT,1230,nspr-2,1215,0,2
202,4,free,11262,monitoramento-m,11256,0,1
203,4,in:imklog,372,systemd,1,0,1
204,4,ps,11650,monitoramento-z,11649,0,1
205,4,INTNET-RECV,1230,nspr-2,1215,0,1
206,4,ps,12028,monitoramento-z,12027,0,1
207,4,dbus-daemon,369,systemd,1,104,2
208,4,ps,12451,monitoramento-d,12449,0,1
209,4,monitoramento-z,1276,bash,1263,0,1
210,4,pidof,13476,monitoramento-V,1278,0,1
211,4,monitoramento-d,13496,monitoramento-d,1274,0,1
212,4,ps,13664,monitoramento-z,13663,0,1
213,4,cat,13693,monitoramento-m,13692,0,1
214,4,ps,14156,monitoramento-d,14155,0,1
215,4,apt-get,3744,apt.systemd.dai,3735,0,15
216,4,ps,14588,monitoramento-z,14587,0,1
217,4,sed,14584,monitoramento-V,14576,0,1
218,4,pidof,14747,monitoramento-V,1278,0,1
219,4,VBoxManage,14550,workload.sh,1281,0,1
220,4,pidof,15106,monitoramento-V,1278,0,3
221,4,pidof,15513,monitoramento-V,1279,0,1
222,4,ifconfig,15688,monitoramento-n,15686,0,1
223,4,monitoramento-V,15712,monitoramento-V,1280,0,1
224,4,ps,15899,monitoramento-d,15898,0,1
225,4,grep,16080,monitoramento-V,16073,0,1
226,4,pidof,17720,monitoramento-V,1280,0,1
227,4,pidstat,17773,monitoramento-V,17769,0,1
228,4,ps,19577,monitoramento-z,19576,0,1
229,4,gmain,380,systemd,1,0,2
230,4,ps,19930,monitoramento-z,19927,0,1
231,4,pidof,20114,monitoramento-V,1278,0,1
232,4,mpstat,20108,monitoramento-c,20102,0,1
233,4,ps,20116,monitoramento-z,20115,0,1
234,4,ps,20159,monitoramento-d,20154,0,1
235,4,VBoxManage,19802,workload.sh,1281,0,1
236,4,pidstat,20304,monitoramento-V,20300,0,1
237,4,pidof,20723,monitoramento-V,1279,0,1
238,4,sed,20735,monitoramento-V,20731,0,1
239,4,ps,21089,monitoramento-d,21088,0,1
240,4,ps,21432,monitoramento-z,21431,0,1
241,4,ps,21642,monitoramento-d,21638,0,1
242,4,ps,22367,monitoramento-z,22366,0,1
243,4,monitoramento-c,23126,monitoramento-c,23125,0,1
244,4,ps,23493,monitoramento-d,23492,0,1
245,4,Port0,1230,nspr-2,1215,0,1
246,4,pidof,23817,monitoramento-V,1280,0,1
247,4,GstPropNtfy,1230,nspr-2,1215,0,1
248,4,pidof,24230,monitoramento-V,1278,0,1
249,4,awk,24282,monitoramento-V,24279,0,1
250,4,ps,24260,monitoramento-d,24259,0,1
251,4,apache2,9041,apache2,491,33,1
252,4,pidof,24368,monitoramento-V,1279,0,1
253,4,free,24373,monitoramento-m,24369,0,3
254,4,ps,24411,monitoramento-z,24410,0,1
255,4,awk,24412,monitoramento-z,24410,0,1
256,4,pidof,24550,monitoramento-V,1280,0,1
257,4,awk,24556,monitoramento-n,24547,0,1
258,4,ps,26134,monitoramento-z,26133,0,1
259,4,monitoramento-c,26223,monitoramento-c,1273,0,1
260,4,pidof,26255,monitoramento-V,1280,0,1
261,4,ps,29978,monitoramento-z,29975,0,1
262,4,pidof,30496,monitoramento-V,1278,0,1
263,4,ifconfig,30506,monitoramento-n,30500,0,1
264,4,ps,30511,monitoramento-z,30510,0,2
265,4,apache2,9042,apache2,491,33,1
266,4,ps,30684,monitoramento-z,30683,0,1
267,4,VBoxManage,30709,workload.sh,1281,0,1
268,4,monitoramento-V,30913,monitoramento-V,30907,0,1
269,4,ps,30887,monitoramento-z,30886,0,1
270,4,awk,30888,monitoramento-z,30886,0,1
271,4,pidof,31405,monitoramento-V,1278,0,1
272,4,monitoramento-V,31407,monitoramento-V,31406,0,1
273,4,mpstat,31422,monitoramento-c,31419,0,1
274,4,VBoxSVCWatcher,1230,nspr-2,1215,0,1
275,4,ps,31604,monitoramento-z,31603,0,1
276,4,VMSVGA FIFO,1230,nspr-2,1215,0,1
277,4,ps,31815,monitoramento-d,31810,0,1
278,4,VBoxXPCOMIPCD,1208,systemd,1,0,1
279,4,ps,32555,monitoramento-z,32554,0,1
280,4,ps,32747,monitoramento-z,32743,0,1
281,4,systemd,1,swapper,,0(0),0
282,4,ps,496,monitoramento-z,495,0,1
283,4,pidof,1447,monitoramento-V,1279,0,1
284,4,ps,1495,monitoramento-d,1494,0,1
285,4,nspr-4,1215,systemd,1,0,1
286,4,pidof,3304,monitoramento-V,1280,0,1
287,4,systemd-journal,198,systemd,1,0,1
288,4,ps,7414,monitoramento-d,7413,0,1
289,4,pidof,7543,monitoramento-V,1278,0,1
290,4,ps,7554,monitoramento-z,7553,0,1
291,4,pidof,10867,monitoramento-V,1280,0,1
292,4,awk,10878,monitoramento-n,10872,0,1
293,4,ps,11045,monitoramento-z,11044,0,1
294,4,date,11080,monitoramento-d,1274,0,1
295,4,ps,11082,monitoramento-d,11081,0,1
296,4,pidof,13322,monitoramento-V,1278,0,1
297,4,monitoramento-m,13528,monitoramento-m,13525,0,1
298,4,ps,14126,monitoramento-z,14125,0,1
299,4,pidof,17526,monitoramento-V,1280,0,1
300,4,"Processo,nspr-2",1215,systemd,1,0,1
301,4,pidof,18670,monitoramento-V,1279,0,1
302,4,monitoramento-V,18676,monitoramento-V,18672,0,1
303,4,ps,19410,monitoramento-z,19409,0,1
304,4,EMT,1230,nspr-2,1215,0,3
305,4,ps,19983,monitoramento-z,19982,0,1
306,4,apache2,9041,apache2,491,33,1
307,4,ps,21068,monitoramento-z,21067,0,1
308,4,monitoramento-d,21145,monitoramento-d,21138,0,1
309,4,ps,21428,monitoramento-z,21427,0,1
310,4,apt-get,3744,apt.systemd.dai,3735,0,10
311,4,ps,21625,monitoramento-z,21624,0,1
312,4,nspr-4,1215,systemd,1,0,2
313,4,pidof,21744,monitoramento-V,1279,0,1
314,4,pidof,21926,monitoramento-V,1280,0,1
315,4,awk,21944,monitoramento-d,21942,0,1
316,4,ps,21948,monitoramento-d,21946,0,1
317,4,awk,21975,monitoramento-c,21973,0,1
318,4,pidof,22320,monitoramento-V,1278,0,1
319,4,pidof,22932,monitoramento-V,1279,0,1
320,4,gmain,380,systemd,1,0,3
321,4,ps,23237,vboxmanage,23236,0,1
322,4,sleep,23371,monitoramento-d,1274,0,1
323,4,ps,23427,monitoramento-d,23426,0,1
324,4,VBoxManage,23205,workload.sh,1281,0,1
325,4,ps,23854,monitoramento-z,23853,0,1
326,4,ps,25652,monitoramento-z,25651,0,1
327,4,monitoramento-z,25716,monitoramento-z,25713,0,1
328,4,ps,25999,monitoramento-z,25998,0,1
329,4,pidof,26882,monitoramento-V,1278,0,1
330,4,mpstat,26887,monitoramento-c,26885,0,1
331,4,pidof,27777,monitoramento-V,1279,0,1
332,4,nspr-3,1215,systemd,1,0,1
333,4,ps,29984,monitoramento-d,29983,0,1
334,4,awk,29985,monitoramento-d,29983,0,1
335,4,ps,31293,monitoramento-z,31292,0,2
336,4,ps,32609,vboxmanage,32606,0,1
337,4,VBoxManage,32574,workload.sh,1281,0,1
338,4,pidof,1681,monitoramento-V,1280,0,1
339,4,pidof,1683,monitoramento-V,1279,0,1
340,4,ps,1690,monitoramento-z,1689,0,1
341,4,monitoramento-m,1730,monitoramento-m,1722,0,1
342,4,ps,1725,monitoramento-d,1723,0,1
343,4,ifconfig,2044,monitoramento-n,2043,0,1
344,4,free,2040,monitoramento-m,2036,0,1
345,4,ps,3062,monitoramento-d,3059,0,1
346,4,monitoramento-c,3128,monitoramento-c,3126,0,1
347,4,ps,3190,vboxmanage,3189,0,1
348,4,monitoramento-m,3700,monitoramento-m,1275,0,1
349,4,ps,3675,monitoramento-z,3670,0,1
350,4,polkitd,435,systemd,1,0,1
351,4,pidof,4096,monitoramento-V,1280,0,1
352,4,ifconfig,4113,monitoramento-n,4112,0,1
353,4,ps,4636,monitoramento-d,4635,0,2
354,4,VBoxManage,4599,workload.sh,1281,0,2
355,4,pidof,5155,monitoramento-V,1279,0,1
356,4,monitoramento-m,5194,monitoramento-m,5193,0,1
357,4,ps,5350,monitoramento-z,5347,0,1
358,4,nm-online,5327,apt-helper,5145,0,1
359,4,ps,5745,monitoramento-z,5734,0,1
360,4,monitoramento-V,5803,monitoramento-V,1278,0,1
361,4,ifconfig,6018,monitoramento-n,6007,0,1
362,4,monitoramento-n,6038,monitoramento-n,6037,0,1
363,4,ps,6098,monitoramento-z,6097,0,1
364,4,ps,6383,monitoramento-d,6382,0,1
365,4,NetworkManager,380,systemd,1,0,1
366,4,ps,7593,monitoramento-d,7592,0,1
367,4,VMSVGA FIFO,1230,nspr-2,1215,0,2
368,4,ps,7779,monitoramento-d,7778,0,1
369,4,monitoramento-m,7792,monitoramento-m,7788,0,1
370,4,lsmod,8605,vboxmanage,8589,0,1
371,4,monitoramento-c,8620,monitoramento-c,8619,0,1
372,4,ps,9237,monitoramento-z,9234,0,1
373,4,VBoxManage,8589,workload.sh,1281,0,1
374,4,ps,9485,monitoramento-d,9484,0,1
375,4,ps,9813,monitoramento-d,9812,0,1
376,4,ps,10118,monitoramento-z,10117,0,1
377,4,dbus-daemon,369,systemd,1,104,1
378,4,ps,10327,monitoramento-d,10326,0,1
379,4,ps,10491,monitoramento-z,10490,0,1
380,4,ps,10914,monitoramento-d,10913,0,1
381,4,ps,11040,monitoramento-z,11039,0,1
382,4,systemd,1,swapper,,0(0),0
383,4,ps,11104,monitoramento-d,11102,0,1
384,4,cron,10900,cron,386,0,1
385,4,pidof,11228,monitoramento-V,1280,0,1
386,4,Port0,1230,nspr-2,1215,0,1
387,4,stapio,2953,stap,1282,0,1
388,4,ps,11605,monitoramento-z,11604,0,1
389,4,VBoxManage,10285,workload.sh,1281,0,1
390,4,pidof,11953,monitoramento-V,1279,0,1
391,4,pidof,12122,monitoramento-V,1278,0,1
392,4,lsmod,12504,vboxmanage,12499,0,1
393,4,monitoramento-c,12537,monitoramento-c,12535,0,1
394,4,ps,12511,monitoramento-z,12508,0,1
395,4,ps,12738,monitoramento-z,12737,0,1
396,4,monitoramento-d,12815,monitoramento-d,12813,0,1
397,4,ps,14439,monitoramento-z,14438,0,1
398,4,ps,15085,monitoramento-d,15084,0,1
399,4,pidof,15428,monitoramento-V,1278,0,1
400,5,"Processo,EventHandler",1215,systemd,1,0,1
401,5,ps,15446,monitoramento-z,15444,0,1
402,5,awk,15520,monitoramento-c,15514,0,1
403,5,ps,15489,monitoramento-d,15488,0,1
404,5,monitoramento-V,1279,bash,1263,0,1
405,5,ps,15821,monitoramento-z,15820,0,1
406,5,apt-get,3744,apt.systemd.dai,3735,0,12
407,5,pidof,16738,monitoramento-V,1279,0,1
408,5,monitoramento-n,16792,monitoramento-n,1277,0,1
409,5,ps,18610,monitoramento-z,18609,0,1
410,5,monitoramento-c,18694,monitoramento-c,1273,0,1
411,5,ps,18778,monitoramento-z,18777,0,1
412,5,sed,18874,monitoramento-m,18871,0,1
413,5,ps,18999,monitoramento-d,18998,0,1
414,5,grep,19032,monitoramento-V,19030,0,1
415,5,ps,21819,monitoramento-d,21818,0,2
416,5,ps,23342,monitoramento-z,23341,0,2
417,5,ps,23418,monitoramento-d,23417,0,1
418,5,VBoxManage,22140,workload.sh,1281,0,1
419,5,ps,24167,monitoramento-d,24166,0,1
420,5,ps,24326,monitoramento-z,24325,0,1
421,5,EMT,1230,nspr-2,1215,0,2
422,5,ps,25353,monitoramento-d,25348,0,1
423,5,ps,26108,monitoramento-d,26107,0,1
424,5,wpa_supplicant,387,systemd,1,0,1
425,5,ps,27554,monitoramento-z,27546,0,1
426,5,dbus-daemon,369,systemd,1,104,1
427,5,ps,28141,monitoramento-d,28140,0,1
428,5,ps,28381,monitoramento-d,28380,0,2
429,5,ps,28295,monitoramento-z,28293,0,2
430,5,pidof,28635,monitoramento-V,1279,0,1
431,5,monitoramento-n,28681,monitoramento-n,1277,0,1
432,5,ps,28639,monitoramento-z,28638,0,1
433,5,Port0,1230,nspr-2,1215,0,1
434,5,ps,29962,monitoramento-d,29959,0,1
435,5,ps,29942,monitoramento-z,29941,0,1
436,5,ps,30188,monitoramento-d,30186,0,1
437,5,gmain,380,systemd,1,0,2
438,5,monitoramento-V,30390,monitoramento-V,1278,0,1
439,5,monitoramento-V,30392,monitoramento-V,30390,0,1
440,5,ps,30439,monitoramento-d,30438,0,1
441,5,pidof,31235,monitoramento-V,1280,0,1
442,5,free,31238,monitoramento-m,31237,0,1
443,5,ps,31351,monitoramento-d,31350,0,1
444,5,nspr-4,1215,systemd,1,0,4
445,5,ps,31806,monitoramento-z,31805,0,1
446,5,pidof,32156,monitoramento-V,1279,0,1
447,5,VBoxSVCWatcher,31450,workload.sh,1281,0,1
448,5,ps,32166,monitoramento-z,32165,0,1
449,5,nspr-5,1215,systemd,1,0,2
450,5,ps,32634,monitoramento-d,32633,0,1
451,5,monitoramento-V,1278,bash,1263,0,1
452,5,ps,335,monitoramento-d,334,0,1
453,5,free,365,monitoramento-m,364,0,1
454,5,ps,1910,monitoramento-z,1909,0,1
455,5,ps,4888,monitoramento-d,4887,0,1
456,5,cat,4932,monitoramento-m,4930,0,1
457,5,ps,7397,monitoramento-z,7396,0,1
458,5,pidof,7736,monitoramento-V,1280,0,1
459,5,monitoramento-V,7760,monitoramento-V,7759,0,1
460,5,ps,7922,monitoramento-d,7921,0,1
461,5,sed,7928,monitoramento-V,7926,0,1
462,5,ps,8798,monitoramento-d,8797,0,1
463,5,nspr-6,1215,systemd,1,0,1
464,5,pidof,8843,monitoramento-V,1278,0,1
465,5,ps,8965,monitoramento-z,8963,0,1
466,5,cron,9909,cron,386,0,1
467,5,ps,10588,vboxmanage,10587,0,2
468,5,ps,10909,monitoramento-z,10908,0,1
469,5,ps,11107,monitoramento-z,11106,0,1
470,5,awk,11263,monitoramento-n,11260,0,1
471,5,ps,11291,monitoramento-z,11289,0,1
472,5,VBoxHeadless,1230,nspr-2,1215,0,2
473,5,ps,12040,monitoramento-z,12039,0,1
474,5,pidof,12768,monitoramento-V,1279,0,1
475,5,free,12766,monitoramento-m,12765,0,1
476,5,ps,13425,monitoramento-d,13424,0,1
477,5,VBoxManage,13087,workload.sh,1281,0,1
478,5,pidof,13513,monitoramento-V,1280,0,1
479,5,cron,13510,cron,13508,0,1
480,5,ps,13918,monitoramento-z,13917,0,1
481,5,VBoxManage,14157,workload.sh,1281,0,1
482,5,ps,14770,monitoramento-d,14769,0,1
483,5,ps,14828,monitoramento-z,14827,0,1
484,5,NetworkManager,380,systemd,1,0,2
485,5,ps,14868,monitoramento-d,14867,0,1
486,5,ps,14999,monitoramento-z,14998,0,1
487,5,ps,15214,monitoramento-z,15213,0,3
488,5,ps,15590,monitoramento-z,15586,0,1
489,5,ps,15746,monitoramento-z,15745,0,1
490,5,ps,15779,monitoramento-d,15778,0,1
491,5,ps,16213,monitoramento-d,16208,0,1
492,5,ps,16565,monitoramento-d,16564,0,1
493,5,ps,16878,monitoramento-d,16877,0,1
494,5,pidof,18468,monitoramento-V,1279,0,1
495,5,ps,18520,monitoramento-z,18519,0,1
496,5,ps,18592,monitoramento-d,18591,0,1
497,5,ps,18884,monitoramento-z,18883,0,1
498,5,monitoramento-z,18883,monitoramento-z,1276,0,1
499,5,ps,19084,monitoramento-z,19083,0,1
500,5,"Processo,monitoramento-d",19177,monitoramento-d,1274,0,1
501,5,ps,19242,monitoramento-z,19241,0,1
502,5,EMT,1230,nspr-2,1215,0,4
503,5,pidof,19794,monitoramento-V,1278,0,1
504,5,monitoramento-V,19878,monitoramento-V,1278,0,1
505,5,ps,20922,monitoramento-z,20920,0,1
506,5,sed,20950,monitoramento-V,20943,0,1
507,5,ps,22059,monitoramento-z,22058,0,3
508,5,apt-get,3744,apt.systemd.dai,3735,0,10
509,5,ps,22389,monitoramento-d,22386,0,1
510,5,VBoxXPCOMIPCD,1208,systemd,1,0,1
511,5,ps,22490,monitoramento-d,22489,0,1
512,5,VBoxManage,22270,workload.sh,1281,0,1
513,5,ps,22871,monitoramento-d,22870,0,1
514,5,pidof,26512,monitoramento-V,1279,0,1
515,5,ps,26744,monitoramento-d,26743,0,1
516,5,sleep,26845,monitoramento-V,1280,0,1
517,5,ps,26991,monitoramento-d,26989,0,1
518,5,sed,27022,monitoramento-m,27019,0,1
519,5,ps,27298,monitoramento-z,27297,0,1
520,5,ps,27798,monitoramento-z,27797,0,1
521,5,ps,28011,monitoramento-z,28010,0,1
522,5,ps,28261,monitoramento-d,28258,0,1
523,5,Port0,1230,nspr-2,1215,0,1
524,5,ps,28776,monitoramento-d,28775,0,1
525,5,awk,28816,monitoramento-n,28813,0,1
526,5,ps,29925,monitoramento-z,29924,0,2
527,5,ps,31498,monitoramento-z,31497,0,1
528,5,monitoramento-n,1277,bash,1263,0,1
529,5,pidof,31665,monitoramento-V,1280,0,1
530,5,ps,31660,monitoramento-z,31659,0,1
531,5,ps,31714,monitoramento-d,31713,0,1
532,5,ps,31879,monitoramento-d,31877,0,1
533,5,systemd,1,swapper,,0(0),0
534,5,pidof,32017,monitoramento-V,1280,0,1
535,5,monitoramento-V,32076,monitoramento-V,1280,0,1
536,5,ps,32229,monitoramento-d,32227,0,1
537,5,VBoxSVCWatcher,1230,nspr-2,1215,0,2
538,5,pidof,32361,monitoramento-V,1278,0,1
539,5,ps,32378,monitoramento-z,32377,0,2
540,5,ps,32504,monitoramento-d,32503,0,1
